flight_activity_id,passenger_key,airport_key,date_key,flight_status_key,passenger_count,is_international
66,66,321,187,1,1,1
67,67,9485,284,3,1,1
68,68,5041,145,3,1,1
69,69,6295,300,1,1,1
70,70,8113,203,2,1,1
71,71,2494,298,2,1,1
72,72,2780,122,2,1,1
73,73,1789,329,3,1,1
74,74,8537,99,3,1,1
75,75,5332,196,3,1,1
76,76,4863,238,1,1,1
77,77,8080,43,3,1,1
78,78,3836,139,3,1,1
79,79,6235,31,1,1,1
80,80,4328,198,1,1,1
81,81,775,320,1,1,1
82,82,5553,37,1,1,1
83,83,3272,127,1,1,1
84,84,1366,302,3,1,1
85,85,4264,221,3,1,1
86,86,5407,302,1,1,1
87,87,762,307,2,1,1
88,88,3977,269,1,1,1
89,89,1314,20,2,1,1
90,90,7597,219,3,1,1
91,91,8221,344,2,1,1
92,92,4509,268,1,1,1
93,93,4088,208,3,1,1
94,94,7747,330,2,1,1
95,95,4456,91,1,1,1
96,96,9316,168,3,1,1
97,97,5789,212,2,1,1
98,98,4336,187,3,1,1
99,99,4776,352,1,1,1
100,100,302,302,2,1,1
101,101,5086,195,1,1,1
102,102,3011,260,3,1,1
103,103,2721,138,3,1,1
104,104,3606,332,3,1,1
105,105,6437,103,1,1,1
106,106,6384,154,2,1,1
107,107,2580,145,3,1,1
108,108,499,211,3,1,1
109,109,5013,94,2,1,1
110,110,4041,4,1,1,1
111,111,9334,67,2,1,1
112,112,5188,299,2,1,1
113,113,612,13,1,1,1
114,114,447,213,1,1,1
115,115,1249,338,2,1,1
116,116,1646,76,1,1,1
117,117,9521,55,3,1,1
118,118,6207,227,2,1,1
119,119,7926,296,3,1,1
120,120,9352,117,3,1,1
121,121,5745,339,3,1,1
122,122,7415,269,3,1,1
123,123,8361,13,3,1,1
124,124,8142,143,2,1,1
125,125,7947,231,1,1,1
126,126,6710,362,1,1,1
127,127,292,301,2,1,1
128,128,7229,319,2,1,1
129,129,4887,358,3,1,1
130,130,4414,292,2,1,1
131,131,8848,289,3,1,1
132,132,5751,294,3,1,1
133,133,269,122,2,1,1
134,134,3280,98,1,1,1
135,135,9300,361,1,1,1
136,136,9198,193,2,1,1
137,137,3262,151,1,1,1
138,138,5306,162,3,1,1
139,139,1347,48,3,1,1
140,140,5173,292,1,1,1
141,141,526,334,1,1,1
142,142,4514,20,1,1,1
143,143,7216,259,1,1,0
144,144,4044,103,2,1,1
145,145,3796,202,2,1,1
146,146,7605,314,2,1,1
147,147,8855,135,1,1,1
148,148,4984,208,1,1,1
149,149,8243,57,2,1,1
150,150,6004,223,1,1,1
151,151,3058,170,3,1,1
152,152,8447,240,3,1,1
153,153,9600,340,3,1,1
154,154,1302,305,3,1,1
155,155,8935,89,1,1,1
156,156,4293,23,2,1,1
157,157,356,192,1,1,1
158,158,5998,184,2,1,1
159,159,9049,349,1,1,1
160,160,4307,115,2,1,1
161,161,5802,228,3,1,1
162,162,1891,280,3,1,1
163,163,301,333,1,1,1
164,164,1973,87,1,1,1
165,165,5726,39,3,1,1
166,166,6877,351,2,1,1
167,167,92,85,3,1,1
168,168,530,244,3,1,1
169,169,9601,158,3,1,1
170,170,6638,67,1,1,0
171,171,3690,161,1,1,1
172,172,7053,224,3,1,1
173,173,8120,30,3,1,1
174,174,4440,229,2,1,1
175,175,2781,274,1,1,1
176,176,5709,44,2,1,1
177,177,3727,148,3,1,1
178,178,2049,13,1,1,1
179,179,798,43,2,1,1
180,180,8420,132,2,1,1
181,181,9441,286,3,1,1
182,182,1871,235,1,1,1
183,183,1295,132,3,1,1
184,184,1239,278,1,1,1
185,185,7818,233,1,1,1
186,186,7489,139,2,1,1
187,187,8455,131,3,1,1
188,188,7002,71,1,1,1
189,189,6904,202,2,1,1
190,190,996,209,3,1,1
191,191,4830,318,1,1,1
192,192,937,104,3,1,1
193,193,4527,117,3,1,1
194,194,3825,143,2,1,1
195,195,227,296,1,1,1
196,196,5582,247,3,1,1
197,197,9122,14,1,1,1
198,198,6505,125,1,1,0
199,199,7596,163,1,1,1
200,200,978,108,1,1,1
201,201,3043,184,1,1,1
202,202,5623,114,2,1,1
203,203,4011,196,1,1,1
204,204,8978,149,1,1,1
205,205,9094,253,2,1,1
206,206,3366,333,3,1,1
207,207,4525,175,1,1,1
208,208,8069,50,1,1,1
209,209,8365,231,2,1,1
210,210,9025,233,2,1,1
211,211,2870,139,3,1,1
212,212,8884,116,1,1,1
213,213,2349,289,1,1,1
214,214,1185,249,3,1,1
215,215,1037,95,3,1,1
216,216,6236,117,1,1,1
217,217,1183,12,2,1,1
218,218,4417,13,3,1,1
219,219,3384,83,3,1,1
220,220,7671,221,1,1,1
221,221,9413,149,1,1,1
222,222,7998,299,2,1,1
223,223,1826,141,2,1,1
224,224,6849,25,1,1,1
225,225,520,188,1,1,1
226,226,5201,33,2,1,1
227,227,4039,26,1,1,1
228,228,8593,305,3,1,1
229,229,1515,44,1,1,1
230,230,419,131,3,1,1
231,231,8709,123,1,1,1
232,232,1216,267,2,1,1
233,233,4327,57,2,1,1
234,234,2086,44,2,1,1
235,235,2388,239,3,1,1
236,236,9317,199,2,1,1
237,237,2949,286,1,1,1
238,238,2556,175,3,1,1
239,239,1027,27,1,1,1
240,240,9602,307,1,1,1
241,241,6109,190,2,1,1
242,242,4283,114,1,1,1
243,243,5899,176,3,1,1
244,244,4831,171,2,1,1
245,245,5297,281,3,1,1
246,246,4540,285,2,1,1
247,247,8091,350,1,1,1
248,248,293,49,2,1,1
249,249,4870,150,1,1,1
250,250,6214,177,3,1,1
251,251,9245,51,2,1,1
252,252,6064,221,1,1,1
253,253,5846,99,2,1,1
254,254,7244,104,2,1,1
255,255,899,289,3,1,1
256,256,7803,295,2,1,1
257,257,1947,287,3,1,1
258,258,4684,269,3,1,1
259,259,3896,34,1,1,1
260,260,2393,209,1,1,1
261,261,2566,166,1,1,1
262,262,541,343,2,1,1
263,263,9543,189,1,1,0
264,264,6700,328,3,1,1
265,265,8753,2,1,1,1
266,266,8184,295,1,1,1
267,267,6026,304,2,1,1
268,268,2781,160,1,1,0
269,269,4485,91,2,1,1
270,270,7469,208,2,1,1
271,271,9491,99,1,1,1
272,272,7303,153,1,1,1
273,273,8373,50,2,1,1
274,274,7199,145,3,1,1
275,275,5390,174,1,1,1
276,276,7321,114,3,1,1
277,277,862,177,2,1,1
278,278,1295,318,2,1,1
279,279,8950,238,2,1,1
280,280,9519,217,1,1,1
281,281,9579,149,3,1,1
282,282,5167,287,1,1,1
283,283,1385,343,1,1,1
284,284,5885,353,1,1,1
285,285,1195,272,2,1,1
286,286,6096,331,2,1,1
287,287,9540,242,1,1,1
288,288,2454,51,1,1,1
289,289,4984,162,1,1,1
290,290,7649,96,3,1,1
291,291,5739,337,2,1,1
292,292,1885,190,3,1,1
293,293,8758,295,3,1,1
294,294,4841,242,3,1,1
295,295,438,108,3,1,1
296,296,4190,25,2,1,1
297,297,8411,16,2,1,1
298,298,2560,57,1,1,1
299,299,4463,278,1,1,1
300,300,7658,319,3,1,1
301,301,4295,324,2,1,1
302,302,1549,296,1,1,1
303,303,5812,315,2,1,1
304,304,4723,195,2,1,1
305,305,8380,312,1,1,1
306,306,432,34,1,1,1
307,307,3856,347,2,1,1
308,308,1371,281,1,1,1
309,309,840,293,2,1,1
310,310,2467,309,3,1,1
311,311,6332,356,3,1,1
312,312,9243,52,2,1,1
313,313,2190,111,2,1,1
314,314,5961,358,3,1,1
315,315,2591,73,2,1,1
316,316,3234,66,1,1,1
317,317,8027,89,1,1,1
318,318,6,173,2,1,1
319,319,6673,55,2,1,1
320,320,9208,355,2,1,1
321,321,1813,263,2,1,1
322,322,1401,362,2,1,1
323,323,750,114,2,1,1
324,324,6391,51,2,1,1
325,325,7786,315,2,1,1
326,326,855,20,1,1,1
327,327,7273,259,1,1,1
328,328,169,235,2,1,1
329,329,2131,37,2,1,1
330,330,8638,17,1,1,1
331,331,3027,64,3,1,1
332,332,6663,76,3,1,1
333,333,1590,172,1,1,1
334,334,4707,364,2,1,1
335,335,1996,106,2,1,1
336,336,7894,103,3,1,1
337,337,202,120,1,1,1
338,338,2277,36,3,1,1
339,339,1193,11,1,1,1
340,340,8066,80,1,1,1
341,341,8072,20,3,1,1
342,342,5296,151,3,1,1
343,343,9214,219,3,1,1
344,344,535,226,1,1,1
345,345,7500,298,3,1,1
346,346,6641,63,2,1,0
347,347,6702,278,3,1,1
348,348,3202,227,1,1,1
349,349,8750,250,1,1,1
350,350,2566,168,3,1,1
351,351,3536,330,2,1,1
352,352,5259,357,3,1,1
353,353,9285,271,1,1,1
354,354,4828,218,2,1,1
355,355,2201,102,3,1,1
356,356,3488,196,2,1,1
357,357,7948,197,1,1,1
358,358,947,245,3,1,1
359,359,4794,267,3,1,1
360,360,9079,228,1,1,1
361,361,3915,337,1,1,1
362,362,677,64,1,1,1
363,363,7636,191,1,1,1
364,364,6330,329,1,1,1
365,365,635,62,1,1,1
366,366,9496,290,3,1,1
367,367,7023,225,3,1,1
368,368,6100,68,2,1,1
369,369,9337,58,1,1,1
370,370,8925,28,2,1,1
371,371,9202,260,3,1,1
372,372,1194,314,1,1,1
373,373,9524,52,3,1,1
374,374,7122,89,3,1,1
375,375,6833,215,1,1,1
376,376,9549,276,3,1,1
377,377,1613,303,3,1,1
378,378,6131,60,3,1,1
379,379,5643,261,2,1,1
380,380,1243,253,3,1,0
381,381,3985,297,3,1,1
382,382,8135,302,2,1,1
383,383,5286,55,1,1,1
384,384,3654,208,3,1,1
385,385,7792,104,2,1,1
386,386,6909,117,2,1,1
387,387,4546,169,2,1,1
388,388,7264,222,3,1,1
389,389,962,343,2,1,1
390,390,6913,153,3,1,1
391,391,3681,52,3,1,1
392,392,9203,332,1,1,1
393,393,7306,203,2,1,0
394,394,8573,35,1,1,1
395,395,805,218,2,1,1
396,396,4266,282,1,1,1
397,397,5051,128,1,1,1
398,398,5100,174,3,1,1
399,399,6613,231,2,1,1
400,400,5402,146,1,1,1
401,401,5306,306,1,1,1
402,402,6493,71,2,1,1
403,403,7725,346,3,1,1
404,404,4876,223,1,1,1
405,405,6055,117,3,1,1
406,406,3313,58,1,1,1
407,407,4025,312,2,1,1
408,408,2932,160,1,1,1
409,409,9411,82,2,1,1
410,410,3075,246,1,1,1
411,411,7148,213,1,1,1
412,412,1260,164,1,1,1
413,413,2998,155,2,1,1
414,414,8675,298,1,1,1
415,415,4375,299,3,1,1
416,416,4490,244,2,1,1
417,417,436,189,1,1,1
418,418,684,125,3,1,1
419,419,4135,146,2,1,1
420,420,9527,260,1,1,1
421,421,5948,258,3,1,1
422,422,7297,132,1,1,1
423,423,2088,35,3,1,1
424,424,8867,303,3,1,1
425,425,9255,292,3,1,1
426,426,1674,213,1,1,1
427,427,157,4,1,1,1
428,428,7515,100,3,1,1
429,429,1981,259,1,1,1
430,430,1436,201,3,1,1
431,431,5487,22,3,1,1
432,432,7016,128,1,1,1
433,433,818,165,1,1,1
434,434,5279,50,3,1,1
435,435,1449,220,1,1,1
436,436,2460,256,3,1,1
437,437,9104,103,1,1,1
438,438,8696,31,2,1,1
439,439,1961,45,2,1,1
440,440,3653,291,3,1,1
441,441,1052,42,3,1,1
442,442,9545,362,1,1,1
443,443,5024,99,3,1,1
444,444,9106,362,1,1,1
445,445,5900,19,3,1,1
446,446,464,60,2,1,1
447,447,4911,290,2,1,1
448,448,4746,112,2,1,1
449,449,1029,221,1,1,1
450,450,1168,339,3,1,1
451,451,9203,82,2,1,1
452,452,2948,283,2,1,1
453,453,363,327,2,1,1
454,454,9603,221,1,1,1
455,455,9604,79,2,1,1
456,456,3409,103,1,1,1
457,457,4046,268,1,1,1
458,458,2399,55,2,1,1
459,459,1301,259,3,1,1
460,460,6380,255,2,1,1
461,461,7538,171,2,1,1
462,462,2962,115,3,1,1
463,463,163,10,2,1,1
464,464,669,212,1,1,1
465,465,9594,287,1,1,1
466,466,9605,268,3,1,1
467,467,83,191,3,1,1
468,468,7006,264,3,1,1
469,469,8162,15,1,1,1
470,470,2744,151,2,1,1
471,471,6838,354,1,1,1
472,472,6514,327,1,1,1
473,473,1298,261,2,1,1
474,474,4805,341,1,1,1
475,475,1618,46,3,1,1
476,476,3651,273,3,1,1
477,477,2511,8,1,1,1
478,478,925,360,3,1,1
479,479,3967,201,2,1,1
480,480,9068,309,2,1,1
481,481,1061,123,3,1,1
482,482,4950,242,2,1,1
483,483,2957,297,1,1,1
484,484,6580,312,1,1,1
485,485,3954,177,1,1,1
486,486,5743,146,1,1,1
487,487,491,259,2,1,1
488,488,1522,110,2,1,1
489,489,9191,349,3,1,1
490,490,2720,100,3,1,1
491,491,9437,259,1,1,1
492,492,9593,76,2,1,1
493,493,7686,196,2,1,1
494,494,7313,132,2,1,1
495,495,5050,228,1,1,1
496,496,9438,101,1,1,1
497,497,3038,9,1,1,1
498,498,3655,43,1,1,1
499,499,8378,333,3,1,1
500,500,3779,202,1,1,1
501,501,7792,180,1,1,1
502,502,4134,153,2,1,1
503,503,6171,234,1,1,1
504,504,3644,345,2,1,1
505,505,3489,169,1,1,1
506,506,8483,230,2,1,0
507,507,5740,264,2,1,1
508,508,2389,330,3,1,1
509,509,5598,95,3,1,1
510,510,455,118,3,1,1
511,511,5450,183,1,1,1
512,512,6960,139,2,1,1
513,513,2394,152,2,1,1
514,514,7052,39,1,1,1
515,515,2721,129,1,1,1
516,516,7926,328,3,1,1
517,517,1483,27,2,1,1
518,518,6840,241,1,1,1
519,519,2189,19,1,1,1
520,520,4673,349,1,1,1
521,521,8957,260,1,1,1
522,522,1132,206,3,1,1
523,523,3799,140,2,1,1
524,524,9461,17,1,1,1
525,525,6720,168,1,1,1
526,526,1438,102,3,1,1
527,527,6920,193,1,1,1
528,528,3543,136,3,1,1
529,529,1546,59,2,1,1
530,530,3878,357,3,1,1
531,531,8519,231,1,1,1
532,532,8311,346,3,1,1
533,533,5685,173,2,1,1
534,534,6076,194,3,1,1
535,535,4055,355,3,1,1
536,536,9090,223,2,1,1
537,537,3339,7,1,1,0
538,538,2007,70,2,1,1
539,539,391,51,2,1,1
540,540,8580,202,1,1,1
541,541,6665,86,3,1,1
542,542,5894,114,3,1,1
543,543,5730,138,2,1,1
544,544,2292,251,2,1,1
545,545,9606,118,1,1,1
546,546,2276,156,2,1,1
547,547,4940,162,2,1,1
548,548,3976,250,2,1,1
549,549,2678,166,3,1,1
550,550,1793,339,2,1,1
551,551,9465,262,3,1,0
552,552,7602,190,2,1,1
553,553,3626,66,1,1,1
554,554,6077,105,2,1,0
555,555,798,294,1,1,1
556,556,1980,227,1,1,1
557,557,3552,86,3,1,1
558,558,6268,128,2,1,1
559,559,2243,342,1,1,1
560,560,3452,23,2,1,1
561,561,6092,253,2,1,1
562,562,4553,231,2,1,1
563,563,4561,289,1,1,1
564,564,3662,210,1,1,1
565,565,8357,273,2,1,1
566,566,3158,350,1,1,1
567,567,4057,281,3,1,1
568,568,273,296,2,1,1
569,569,2524,359,1,1,1
570,570,2297,83,1,1,1
571,571,1699,127,2,1,1
572,572,8671,87,2,1,1
573,573,6915,210,1,1,1
574,574,9537,274,1,1,1
575,575,8212,137,2,1,1
576,576,2120,266,2,1,1
577,577,9333,175,2,1,1
578,578,8260,47,1,1,1
579,579,3413,177,1,1,1
580,580,5819,225,3,1,1
581,581,9407,226,1,1,0
582,582,7263,35,1,1,1
583,583,3720,325,2,1,1
584,584,6177,251,2,1,1
585,585,5054,299,2,1,1
586,586,7017,3,2,1,1
587,587,6527,1,2,1,1
588,588,5469,182,3,1,1
589,589,8506,269,3,1,1
590,590,6321,292,3,1,1
591,591,4794,256,3,1,1
592,592,4943,4,3,1,1
593,593,1906,362,2,1,1
594,594,4393,253,2,1,1
595,595,2302,221,1,1,1
596,596,2912,53,3,1,1
597,597,6923,197,3,1,1
598,598,8835,296,3,1,1
599,599,6623,219,3,1,1
600,600,5633,129,1,1,1
601,601,2075,221,2,1,1
602,602,7936,64,1,1,1
603,603,8912,272,2,1,1
604,604,8356,307,2,1,1
605,605,8203,270,2,1,1
606,606,2330,141,1,1,1
607,607,4532,217,2,1,1
608,608,8851,127,2,1,1
609,609,3162,256,2,1,1
610,610,5621,350,3,1,1
611,611,1545,131,3,1,1
612,612,6447,93,1,1,1
613,613,2634,343,1,1,1
614,614,2226,86,2,1,1
615,615,8778,151,1,1,1
616,616,1102,291,3,1,1
617,617,1676,271,2,1,1
618,618,1657,231,2,1,1
619,619,4111,357,1,1,1
620,620,6191,199,2,1,1
621,621,6303,355,1,1,1
622,622,4089,129,1,1,1
623,623,8192,204,3,1,1
624,624,6037,308,1,1,1
625,625,4868,139,2,1,1
626,626,4088,3,1,1,1
627,627,6429,64,2,1,1
628,628,6655,222,1,1,1
629,629,5358,220,3,1,1
630,630,7621,250,3,1,1
631,631,3891,252,1,1,1
632,632,5655,96,3,1,1
633,633,3235,223,1,1,1
634,634,1234,281,1,1,1
635,635,3043,359,2,1,1
636,636,3521,283,3,1,1
637,637,1491,27,3,1,1
638,638,5593,53,2,1,1
639,639,4003,49,1,1,1
640,640,1160,156,3,1,1
641,641,749,273,3,1,0
642,642,1789,331,1,1,1
643,643,5560,341,2,1,1
644,644,6224,94,1,1,1
645,645,3127,47,3,1,1
646,646,4896,14,1,1,1
647,647,2345,49,3,1,1
648,648,2489,326,3,1,1
649,649,3719,296,3,1,1
650,650,7296,242,3,1,1
651,651,4194,115,2,1,1
652,652,2205,199,2,1,1
653,653,5402,107,3,1,1
654,654,8809,351,1,1,1
655,655,6361,48,1,1,1
656,656,4844,364,1,1,1
657,657,8480,254,3,1,1
658,658,8046,279,2,1,1
659,659,6030,206,2,1,1
660,660,1460,222,3,1,1
661,661,2821,179,1,1,1
662,662,384,331,1,1,1
663,663,8227,107,3,1,1
664,664,4638,18,3,1,1
665,665,3222,38,2,1,1
666,666,6768,87,2,1,1
667,667,724,357,3,1,1
668,668,3553,245,1,1,1
669,669,8639,36,2,1,1
670,670,4312,334,2,1,1
671,671,4393,190,1,1,1
672,672,3762,226,2,1,1
673,673,2979,151,3,1,1
674,674,5787,18,2,1,1
675,675,8044,245,2,1,1
676,676,8234,326,2,1,1
677,677,6164,38,2,1,1
678,678,422,43,2,1,1
679,679,1110,146,3,1,1
680,680,9273,168,2,1,1
681,681,9607,322,2,1,1
682,682,2338,213,1,1,1
683,683,1095,324,1,1,1
684,684,126,212,3,1,1
685,685,9444,228,3,1,1
686,686,5790,166,3,1,1
687,687,9482,168,1,1,0
688,688,8191,13,1,1,1
689,689,8040,12,2,1,1
690,690,4298,214,3,1,1
691,691,4501,316,2,1,1
692,692,2962,77,3,1,1
693,693,5243,140,3,1,1
694,694,366,68,2,1,1
695,695,5694,296,3,1,1
696,696,565,84,2,1,1
697,697,454,321,2,1,1
698,698,6067,307,2,1,1
699,699,5594,143,3,1,1
700,700,7587,125,3,1,1
701,701,529,305,3,1,1
702,702,9212,182,1,1,1
703,703,5930,350,3,1,1
704,704,1901,267,3,1,1
705,705,3898,232,2,1,1
706,706,8177,109,2,1,1
707,707,4861,263,1,1,1
708,708,7668,35,2,1,1
709,709,1378,201,1,1,1
710,710,2214,111,1,1,1
711,711,8627,3,1,1,0
712,712,366,94,3,1,1
713,713,6858,24,2,1,1
714,714,2861,176,2,1,1
715,715,3109,135,2,1,1
716,716,6654,240,2,1,1
717,717,167,282,3,1,1
718,718,1976,4,1,1,1
719,719,2393,79,3,1,1
720,720,388,353,3,1,1
721,721,2936,91,3,1,0
722,722,1178,312,1,1,1
723,723,3669,292,2,1,1
724,724,3406,118,1,1,1
725,725,2207,300,3,1,1
726,726,1047,188,3,1,1
727,727,8505,252,2,1,1
728,728,5809,100,3,1,1
729,729,1749,77,1,1,1
730,730,8957,238,3,1,1
731,731,7386,40,1,1,1
732,732,8657,304,3,1,1
733,733,8133,163,3,1,1
734,734,4565,250,3,1,1
735,735,4180,353,2,1,1
736,736,3844,287,1,1,1
737,737,1147,154,1,1,1
738,738,930,196,1,1,1
739,739,3245,91,3,1,1
740,740,3108,331,1,1,1
741,741,5511,100,2,1,1
742,742,8937,94,3,1,1
743,743,514,234,1,1,1
744,744,1652,172,3,1,1
745,745,13,314,1,1,1
746,746,2201,65,2,1,1
747,747,1414,297,2,1,1
748,748,2564,271,3,1,1
749,749,1682,304,1,1,1
750,750,1114,31,1,1,1
751,751,4823,203,2,1,1
752,752,7386,71,3,1,1
753,753,5884,208,2,1,1
754,754,176,224,1,1,1
755,755,7995,250,3,1,1
756,756,8101,204,1,1,1
757,757,9279,324,2,1,1
758,758,7117,334,2,1,1
759,759,5582,27,3,1,1
760,760,7821,18,2,1,1
761,761,3901,25,2,1,1
762,762,5128,342,3,1,1
763,763,3899,257,3,1,1
764,764,3301,162,1,1,1
765,765,3720,292,3,1,1
766,766,6660,170,3,1,1
767,767,3460,1,1,1,1
768,768,2747,326,1,1,1
769,769,6634,33,2,1,1
770,770,3340,264,3,1,1
771,771,1744,331,3,1,1
772,772,7005,282,1,1,1
773,773,9235,43,1,1,1
774,774,8545,280,3,1,1
775,775,9031,209,2,1,1
776,776,8238,306,1,1,1
777,777,6270,20,1,1,1
778,778,5399,107,2,1,1
779,779,1508,172,3,1,1
780,780,5472,121,3,1,1
781,781,3378,260,1,1,1
782,782,4784,97,3,1,1
783,783,699,220,3,1,1
784,784,5147,293,3,1,1
785,785,2763,201,1,1,1
786,786,8780,199,1,1,1
787,787,4571,295,3,1,1
788,788,3626,137,2,1,1
789,789,3133,145,3,1,1
790,790,7512,288,3,1,1
791,791,3705,224,3,1,1
792,792,9386,269,2,1,1
793,793,2477,360,1,1,1
794,794,8663,105,3,1,1
795,795,8247,229,3,1,1
796,796,4684,32,1,1,1
797,797,3621,335,2,1,1
798,798,2637,80,1,1,1
799,799,8199,3,3,1,1
800,800,4921,222,3,1,1
801,801,4914,347,2,1,1
802,802,2153,88,2,1,1
803,803,7349,50,2,1,1
804,804,1317,158,3,1,1
805,805,9485,349,2,1,1
806,806,4673,2,2,1,1
807,807,2703,221,2,1,1
808,808,3338,150,3,1,1
809,809,4756,244,3,1,1
810,810,4761,351,1,1,1
811,811,7018,260,1,1,1
812,812,8306,180,2,1,1
813,813,451,194,2,1,1
814,814,6401,50,2,1,1
815,815,4821,294,2,1,1
816,816,4799,167,3,1,1
817,817,7182,4,1,1,1
818,818,2117,340,3,1,1
819,819,5894,96,1,1,1
820,820,6267,256,1,1,1
821,821,631,176,1,1,1
822,822,6652,254,2,1,1
823,823,9608,200,3,1,1
824,824,2711,94,1,1,1
825,825,2351,272,3,1,1
826,826,6581,114,1,1,1
827,827,4710,306,2,1,0
828,828,3480,304,2,1,1
829,829,7384,168,2,1,1
830,830,2836,225,1,1,1
831,831,1843,345,2,1,1
832,832,6576,190,3,1,1
833,833,1810,330,3,1,1
834,834,8179,39,1,1,1
835,835,9117,228,3,1,1
836,836,3571,85,2,1,1
837,837,4015,276,3,1,1
838,838,2350,134,1,1,1
839,839,1734,180,2,1,1
840,840,5510,140,2,1,1
841,841,8213,14,2,1,1
842,842,8730,342,1,1,1
843,843,5385,52,1,1,1
844,844,2950,37,3,1,1
845,845,1987,210,3,1,1
846,846,4176,214,2,1,1
847,847,7256,1,2,1,1
848,848,4398,224,3,1,1
849,849,2214,268,1,1,1
850,850,9008,358,3,1,1
851,851,6789,134,2,1,1
852,852,5404,78,1,1,1
853,853,2523,217,3,1,1
854,854,4845,210,3,1,1
855,855,1879,158,3,1,1
856,856,9191,3,2,1,1
857,857,2982,284,3,1,1
858,858,4172,176,3,1,0
859,859,9317,17,3,1,1
860,860,1752,171,1,1,1
861,861,5746,298,2,1,1
862,862,783,31,1,1,1
863,863,449,328,1,1,1
864,864,631,264,2,1,1
865,865,7735,29,1,1,1
866,866,3189,216,3,1,1
867,867,7651,115,2,1,1
868,868,697,130,3,1,1
869,869,2226,208,1,1,1
870,870,9076,224,3,1,1
871,871,6100,357,1,1,1
872,872,6917,254,1,1,0
873,873,9204,294,1,1,1
874,874,3212,116,1,1,1
875,875,5076,294,3,1,1
876,876,6277,313,2,1,1
877,877,5840,52,3,1,1
878,878,1865,52,1,1,1
879,879,8329,166,3,1,1
880,880,7923,279,1,1,1
881,881,3803,75,1,1,1
882,882,2796,167,2,1,1
883,883,7455,172,3,1,1
884,884,749,227,3,1,1
885,885,4071,181,1,1,1
886,886,973,17,1,1,1
887,887,6215,124,3,1,1
888,888,1526,5,2,1,1
889,889,3055,132,2,1,1
890,890,8963,94,1,1,1
891,891,5053,13,2,1,1
892,892,1577,86,1,1,1
893,893,6862,289,2,1,1
894,894,5381,325,1,1,1
895,895,9215,267,2,1,1
896,896,2578,174,2,1,1
897,897,4206,95,2,1,1
898,898,4123,137,3,1,1
899,899,5685,96,3,1,1
900,900,1675,26,2,1,1
901,901,439,333,2,1,1
902,902,5579,273,3,1,1
903,903,4160,241,3,1,1
904,904,7867,37,3,1,1
905,905,7040,193,1,1,1
906,906,2639,235,1,1,1
907,907,2222,262,3,1,1
908,908,8988,161,2,1,1
909,909,2043,73,2,1,1
910,910,9283,55,3,1,1
911,911,2958,351,2,1,1
912,912,2690,145,3,1,1
913,913,1082,118,1,1,1
914,914,7081,250,3,1,1
915,915,6865,310,3,1,1
916,916,972,63,2,1,1
917,917,8463,249,1,1,1
918,918,4631,13,1,1,1
919,919,2451,353,2,1,1
920,920,8764,324,1,1,1
921,921,1767,91,2,1,1
922,922,3864,131,1,1,1
923,923,9005,50,2,1,1
924,924,1372,308,1,1,1
925,925,9043,312,1,1,1
926,926,3524,125,1,1,1
927,927,1061,221,1,1,1
928,928,9446,290,2,1,1
929,929,3662,17,1,1,1
930,930,386,335,1,1,1
931,931,759,120,3,1,1
932,932,3240,169,1,1,1
933,933,1724,349,1,1,1
934,934,3290,118,1,1,1
