date_key,date,day,week,month,quarter,year
85,2022-03-26,26,12,3,1,2022
86,2022-03-27,27,12,3,1,2022
87,2022-03-28,28,13,3,1,2022
88,2022-03-29,29,13,3,1,2022
89,2022-03-30,30,13,3,1,2022
90,2022-03-31,31,13,3,1,2022
91,2022-04-01,1,13,4,2,2022
92,2022-04-02,2,13,4,2,2022
93,2022-04-03,3,13,4,2,2022
94,2022-04-04,4,14,4,2,2022
95,2022-04-05,5,14,4,2,2022
96,2022-04-06,6,14,4,2,2022
97,2022-04-07,7,14,4,2,2022
98,2022-04-08,8,14,4,2,2022
99,2022-04-09,9,14,4,2,2022
100,2022-04-10,10,14,4,2,2022
101,2022-04-11,11,15,4,2,2022
102,2022-04-12,12,15,4,2,2022
103,2022-04-13,13,15,4,2,2022
104,2022-04-14,14,15,4,2,2022
105,2022-04-15,15,15,4,2,2022
106,2022-04-16,16,15,4,2,2022
107,2022-04-17,17,15,4,2,2022
108,2022-04-18,18,16,4,2,2022
109,2022-04-19,19,16,4,2,2022
110,2022-04-20,20,16,4,2,2022
111,2022-04-21,21,16,4,2,2022
112,2022-04-22,22,16,4,2,2022
113,2022-04-23,23,16,4,2,2022
114,2022-04-24,24,16,4,2,2022
115,2022-04-25,25,17,4,2,2022
116,2022-04-26,26,17,4,2,2022
117,2022-04-27,27,17,4,2,2022
118,2022-04-28,28,17,4,2,2022
119,2022-04-29,29,17,4,2,2022
120,2022-04-30,30,17,4,2,2022
121,2022-05-01,1,17,5,2,2022
122,2022-05-02,2,18,5,2,2022
123,2022-05-03,3,18,5,2,2022
124,2022-05-04,4,18,5,2,2022
125,2022-05-05,5,18,5,2,2022
126,2022-05-06,6,18,5,2,2022
127,2022-05-07,7,18,5,2,2022
128,2022-05-08,8,18,5,2,2022
129,2022-05-09,9,19,5,2,2022
130,2022-05-10,10,19,5,2,2022
131,2022-05-11,11,19,5,2,2022
132,2022-05-12,12,19,5,2,2022
133,2022-05-13,13,19,5,2,2022
134,2022-05-14,14,19,5,2,2022
135,2022-05-15,15,19,5,2,2022
136,2022-05-16,16,20,5,2,2022
137,2022-05-17,17,20,5,2,2022
138,2022-05-18,18,20,5,2,2022
139,2022-05-19,19,20,5,2,2022
140,2022-05-20,20,20,5,2,2022
141,2022-05-21,21,20,5,2,2022
142,2022-05-22,22,20,5,2,2022
143,2022-05-23,23,21,5,2,2022
144,2022-05-24,24,21,5,2,2022
145,2022-05-25,25,21,5,2,2022
146,2022-05-26,26,21,5,2,2022
147,2022-05-27,27,21,5,2,2022
148,2022-05-28,28,21,5,2,2022
149,2022-05-29,29,21,5,2,2022
150,2022-05-30,30,22,5,2,2022
151,2022-05-31,31,22,5,2,2022
152,2022-06-01,1,22,6,2,2022
153,2022-06-02,2,22,6,2,2022
154,2022-06-03,3,22,6,2,2022
155,2022-06-04,4,22,6,2,2022
156,2022-06-05,5,22,6,2,2022
157,2022-06-06,6,23,6,2,2022
158,2022-06-07,7,23,6,2,2022
159,2022-06-08,8,23,6,2,2022
160,2022-06-09,9,23,6,2,2022
161,2022-06-10,10,23,6,2,2022
162,2022-06-11,11,23,6,2,2022
163,2022-06-12,12,23,6,2,2022
164,2022-06-13,13,24,6,2,2022
165,2022-06-14,14,24,6,2,2022
166,2022-06-15,15,24,6,2,2022
167,2022-06-16,16,24,6,2,2022
168,2022-06-17,17,24,6,2,2022
169,2022-06-18,18,24,6,2,2022
170,2022-06-19,19,24,6,2,2022
171,2022-06-20,20,25,6,2,2022
172,2022-06-21,21,25,6,2,2022
173,2022-06-22,22,25,6,2,2022
174,2022-06-23,23,25,6,2,2022
175,2022-06-24,24,25,6,2,2022
176,2022-06-25,25,25,6,2,2022
177,2022-06-26,26,25,6,2,2022
178,2022-06-27,27,26,6,2,2022
179,2022-06-28,28,26,6,2,2022
180,2022-06-29,29,26,6,2,2022
181,2022-06-30,30,26,6,2,2022
182,2022-07-01,1,26,7,3,2022
183,2022-07-02,2,26,7,3,2022
184,2022-07-03,3,26,7,3,2022
185,2022-07-04,4,27,7,3,2022
186,2022-07-05,5,27,7,3,2022
187,2022-07-06,6,27,7,3,2022
188,2022-07-07,7,27,7,3,2022
189,2022-07-08,8,27,7,3,2022
190,2022-07-09,9,27,7,3,2022
191,2022-07-10,10,27,7,3,2022
192,2022-07-11,11,28,7,3,2022
193,2022-07-12,12,28,7,3,2022
194,2022-07-13,13,28,7,3,2022
195,2022-07-14,14,28,7,3,2022
196,2022-07-15,15,28,7,3,2022
197,2022-07-16,16,28,7,3,2022
198,2022-07-17,17,28,7,3,2022
199,2022-07-18,18,29,7,3,2022
200,2022-07-19,19,29,7,3,2022
201,2022-07-20,20,29,7,3,2022
202,2022-07-21,21,29,7,3,2022
203,2022-07-22,22,29,7,3,2022
204,2022-07-23,23,29,7,3,2022
205,2022-07-24,24,29,7,3,2022
206,2022-07-25,25,30,7,3,2022
207,2022-07-26,26,30,7,3,2022
208,2022-07-27,27,30,7,3,2022
209,2022-07-28,28,30,7,3,2022
210,2022-07-29,29,30,7,3,2022
211,2022-07-30,30,30,7,3,2022
212,2022-07-31,31,30,7,3,2022
213,2022-08-01,1,31,8,3,2022
214,2022-08-02,2,31,8,3,2022
215,2022-08-03,3,31,8,3,2022
216,2022-08-04,4,31,8,3,2022
217,2022-08-05,5,31,8,3,2022
218,2022-08-06,6,31,8,3,2022
219,2022-08-07,7,31,8,3,2022
220,2022-08-08,8,32,8,3,2022
221,2022-08-09,9,32,8,3,2022
222,2022-08-10,10,32,8,3,2022
223,2022-08-11,11,32,8,3,2022
224,2022-08-12,12,32,8,3,2022
225,2022-08-13,13,32,8,3,2022
226,2022-08-14,14,32,8,3,2022
227,2022-08-15,15,33,8,3,2022
228,2022-08-16,16,33,8,3,2022
229,2022-08-17,17,33,8,3,2022
230,2022-08-18,18,33,8,3,2022
231,2022-08-19,19,33,8,3,2022
232,2022-08-20,20,33,8,3,2022
233,2022-08-21,21,33,8,3,2022
234,2022-08-22,22,34,8,3,2022
235,2022-08-23,23,34,8,3,2022
236,2022-08-24,24,34,8,3,2022
237,2022-08-25,25,34,8,3,2022
238,2022-08-26,26,34,8,3,2022
239,2022-08-27,27,34,8,3,2022
240,2022-08-28,28,34,8,3,2022
241,2022-08-29,29,35,8,3,2022
242,2022-08-30,30,35,8,3,2022
243,2022-08-31,31,35,8,3,2022
244,2022-09-01,1,35,9,3,2022
245,2022-09-02,2,35,9,3,2022
246,2022-09-03,3,35,9,3,2022
247,2022-09-04,4,35,9,3,2022
248,2022-09-05,5,36,9,3,2022
249,2022-09-06,6,36,9,3,2022
250,2022-09-07,7,36,9,3,2022
251,2022-09-08,8,36,9,3,2022
252,2022-09-09,9,36,9,3,2022
253,2022-09-10,10,36,9,3,2022
254,2022-09-11,11,36,9,3,2022
255,2022-09-12,12,37,9,3,2022
256,2022-09-13,13,37,9,3,2022
257,2022-09-14,14,37,9,3,2022
258,2022-09-15,15,37,9,3,2022
259,2022-09-16,16,37,9,3,2022
260,2022-09-17,17,37,9,3,2022
261,2022-09-18,18,37,9,3,2022
262,2022-09-19,19,38,9,3,2022
263,2022-09-20,20,38,9,3,2022
264,2022-09-21,21,38,9,3,2022
265,2022-09-22,22,38,9,3,2022
266,2022-09-23,23,38,9,3,2022
267,2022-09-24,24,38,9,3,2022
268,2022-09-25,25,38,9,3,2022
269,2022-09-26,26,39,9,3,2022
270,2022-09-27,27,39,9,3,2022
271,2022-09-28,28,39,9,3,2022
272,2022-09-29,29,39,9,3,2022
273,2022-09-30,30,39,9,3,2022
274,2022-10-01,1,39,10,4,2022
275,2022-10-02,2,39,10,4,2022
276,2022-10-03,3,40,10,4,2022
277,2022-10-04,4,40,10,4,2022
278,2022-10-05,5,40,10,4,2022
279,2022-10-06,6,40,10,4,2022
280,2022-10-07,7,40,10,4,2022
281,2022-10-08,8,40,10,4,2022
282,2022-10-09,9,40,10,4,2022
283,2022-10-10,10,41,10,4,2022
284,2022-10-11,11,41,10,4,2022
285,2022-10-12,12,41,10,4,2022
286,2022-10-13,13,41,10,4,2022
287,2022-10-14,14,41,10,4,2022
288,2022-10-15,15,41,10,4,2022
289,2022-10-16,16,41,10,4,2022
290,2022-10-17,17,42,10,4,2022
291,2022-10-18,18,42,10,4,2022
292,2022-10-19,19,42,10,4,2022
293,2022-10-20,20,42,10,4,2022
294,2022-10-21,21,42,10,4,2022
295,2022-10-22,22,42,10,4,2022
296,2022-10-23,23,42,10,4,2022
297,2022-10-24,24,43,10,4,2022
298,2022-10-25,25,43,10,4,2022
299,2022-10-26,26,43,10,4,2022
300,2022-10-27,27,43,10,4,2022
301,2022-10-28,28,43,10,4,2022
302,2022-10-29,29,43,10,4,2022
303,2022-10-30,30,43,10,4,2022
304,2022-10-31,31,44,10,4,2022
305,2022-11-01,1,44,11,4,2022
306,2022-11-02,2,44,11,4,2022
307,2022-11-03,3,44,11,4,2022
308,2022-11-04,4,44,11,4,2022
309,2022-11-05,5,44,11,4,2022
310,2022-11-06,6,44,11,4,2022
311,2022-11-07,7,45,11,4,2022
312,2022-11-08,8,45,11,4,2022
313,2022-11-09,9,45,11,4,2022
314,2022-11-10,10,45,11,4,2022
315,2022-11-11,11,45,11,4,2022
316,2022-11-12,12,45,11,4,2022
317,2022-11-13,13,45,11,4,2022
318,2022-11-14,14,46,11,4,2022
319,2022-11-15,15,46,11,4,2022
320,2022-11-16,16,46,11,4,2022
321,2022-11-17,17,46,11,4,2022
322,2022-11-18,18,46,11,4,2022
323,2022-11-19,19,46,11,4,2022
324,2022-11-20,20,46,11,4,2022
325,2022-11-21,21,47,11,4,2022
326,2022-11-22,22,47,11,4,2022
327,2022-11-23,23,47,11,4,2022
328,2022-11-24,24,47,11,4,2022
329,2022-11-25,25,47,11,4,2022
330,2022-11-26,26,47,11,4,2022
331,2022-11-27,27,47,11,4,2022
332,2022-11-28,28,48,11,4,2022
333,2022-11-29,29,48,11,4,2022
334,2022-11-30,30,48,11,4,2022
335,2022-12-01,1,48,12,4,2022
336,2022-12-02,2,48,12,4,2022
337,2022-12-03,3,48,12,4,2022
338,2022-12-04,4,48,12,4,2022
339,2022-12-05,5,49,12,4,2022
340,2022-12-06,6,49,12,4,2022
341,2022-12-07,7,49,12,4,2022
342,2022-12-08,8,49,12,4,2022
343,2022-12-09,9,49,12,4,2022
344,2022-12-10,10,49,12,4,2022
345,2022-12-11,11,49,12,4,2022
346,2022-12-12,12,50,12,4,2022
347,2022-12-13,13,50,12,4,2022
348,2022-12-14,14,50,12,4,2022
349,2022-12-15,15,50,12,4,2022
350,2022-12-16,16,50,12,4,2022
351,2022-12-17,17,50,12,4,2022
352,2022-12-18,18,50,12,4,2022
353,2022-12-19,19,51,12,4,2022
354,2022-12-20,20,51,12,4,2022
355,2022-12-21,21,51,12,4,2022
356,2022-12-22,22,51,12,4,2022
357,2022-12-23,23,51,12,4,2022
358,2022-12-24,24,51,12,4,2022
359,2022-12-25,25,51,12,4,2022
360,2022-12-26,26,52,12,4,2022
361,2022-12-27,27,52,12,4,2022
362,2022-12-28,28,52,12,4,2022
363,2022-12-29,29,52,12,4,2022
364,2022-12-30,30,52,12,4,2022
