airport_key,airport_code,airport_name,airport_type,municipality,country_key
287,AMU,Amanab Airport,small_airport,Amanab,174
288,ADC,Andakombe Airport,small_airport,Andekombe,174
289,AIE,Aiome Airport,small_airport,Aiome,174
290,KPM,Kompiam Airport,small_airport,Unknown,174
291,AUJ,Ambunti Airport,small_airport,Ambunti,174
292,AWB,Awaba Airport,small_airport,Awaba,174
293,AEK,Aseki Airport,small_airport,Aseki,174
294,AYU,Aiyura Airport,small_airport,Aiyura Valley,174
295,VMU,Baimuru Airport,medium_airport,Baimuru,174
296,BCP,Bambu Airport,small_airport,Bambu,174
297,BNM,Bodinumu Airport,small_airport,Bodinumu,174
298,BMZ,Bamu Airport,small_airport,Bamu,174
299,BDZ,Baindoung Airport,small_airport,Unknown,174
300,BSP,Bensbach Airport,small_airport,Bensbach,174
301,BWP,Bewani Airport,small_airport,Bewani,174
302,BUA,Buka Airport,medium_airport,Buka Island,174
303,BAA,Bialla Airport,small_airport,"Bialla, Matalilu, Ewase",174
304,OPU,Balimo Airport,medium_airport,Balimo,174
305,BMH,Bomai Airport,small_airport,Bomai,174
306,BPD,Bapi Airstrip,small_airport,Bapi,174
307,BPK,Biangabip Airport,small_airport,Biangabip,174
308,BRP,Biaru Airport,small_airport,Biaru,174
309,BUL,Bulolo Airport,small_airport,Bulolo,174
310,XBN,Biniguni Airport,small_airport,Biniguni,174
311,CVB,Chungribu Airport,small_airport,Chungribu,174
312,CGC,Cape Gloucester Airport,small_airport,Cape Gloucester,174
313,CMU,Chimbu Airport,medium_airport,Kundiawa,174
314,SQT,China Strait Airstrip,small_airport,Samarai Island,174
315,DBP,Debepare Airport,small_airport,Debepare,174
316,DER,Derim Airport,small_airport,Derim,174
317,BNT,Bundi Airport,small_airport,Bundi,174
318,MDM,Munduku Airport,small_airport,Munduku,174
319,KPF,Kondobol Airport,small_airport,Kondobol,174
320,DNU,Dinangat Airport,small_airport,Dinangat,174
321,DOI,Doini Airport,small_airport,Castori Islets,174
322,DOO,Dorobisoro Airport,small_airport,Dorobisoro,174
323,DAU,Daru Airport,medium_airport,Daru,174
324,KRU,Kerau Airport,small_airport,Gunim,174
325,EMS,Embessa Airport,small_airport,Embessa,174
326,XYR,Edwaki Airport,small_airport,Yellow River Mission,174
327,EMI,Emirau Airport,small_airport,Emirau Island,174
328,EFG,Efogi Airport,small_airport,Efogi,174
329,MHY,Morehead Airport,small_airport,Morehead,174
330,EPT,Eliptamin Airport,small_airport,Eliptamin,174
331,EGA,Engati Airstrip,small_airport,Engati,174
332,EMO,Emo River Airstrip,small_airport,Emo Mission,174
333,ERU,Erume Airport,small_airport,Erume,174
334,MFZ,Meselia Airport,small_airport,Demgulu,174
335,BOT,Bosset Airport,small_airport,Bosset,174
336,ERE,Erave Airport,small_airport,Erave,174
337,SWE,Siwea Airport,small_airport,Siwea,174
338,FNE,Fane Airport,small_airport,Fane Mission,174
339,FRQ,Feramin Airport,small_airport,Feramin,174
340,FIN,Finschhafen Airport,small_airport,Buki,174
341,FAQ,Frieda River Airport,small_airport,Frieda River,174
342,FUM,Fuma Airport,small_airport,Fuma,174
343,GKA,Goroka Airport,medium_airport,Goronka,174
344,GEW,Gewoia Airport,small_airport,Gewoia,174
345,GUG,Guari Airport,small_airport,Guari,174
346,GRL,Garasa Airport,small_airport,Au,174
347,GAR,Garaina Airport,small_airport,Garaina,174
348,GAZ,Guasopa Airport,small_airport,Woodlark (Muyua) Island,174
349,GOE,Gonaili Airport,small_airport,Gonaili,174
350,GUR,Gurney Airport,medium_airport,Gurney,174
351,GAP,Gusap Airport,small_airport,Gusap,174
352,PNP,Girua Airport,medium_airport,Popondetta,174
353,GBC,Gasuke Airport,small_airport,Gasuke,174
354,GMI,Gasmata Island Airport,small_airport,Gasmata Island,174
355,AKG,Anguganak Airport,small_airport,Anguganak,174
356,GVI,Green River Airport,small_airport,Green River,174
357,GOC,Gora Airstrip,small_airport,Gora,174
358,HBD,Habi Airport,small_airport,Habi,174
359,HNI,Heiweni Airport,small_airport,Heiweni,174
360,HYF,Hayfields Airport,small_airport,Bainyik,174
361,HNN,Honinabi Airport,small_airport,Honinabi,174
362,HKN,Hoskins Airport,medium_airport,Kimbe,174
363,HIT,Haivaro Airport,small_airport,Haivaro,174
364,HWA,Hawabango Airport,small_airport,Hawabango,174
365,IIS,Nissan Island Airport,small_airport,Nissan Island,174
366,IDN,Indagen Airport,small_airport,Indagen,174
367,IMN,Imane Airport,small_airport,Imane,174
368,KGM,Kungim Airport,small_airport,Kungim,174
369,IMD,Imonda Airport,small_airport,Imonda,174
370,KIE,Aropa Airport,small_airport,Kieta,174
371,IAL,Ialibu Airport,small_airport,Ialibu,174
372,WSA,Wasua Airport,small_airport,Wasua,174
373,WIU,Witu Airport,small_airport,Garove Island,174
374,MPX,Miyanmin Airport,small_airport,Miyanmin,174
375,KGH,Yongai Airport,small_airport,Yongai,174
376,JOP,Josephstaal Airport,small_airport,Josephstaal,174
377,LSA,Losuia Airport,small_airport,Losuia,174
378,KBM,Kabwum,small_airport,Unknown,174
379,KDR,Kandrian Airport,small_airport,Kandrian,174
380,KMF,Kamina Airport,small_airport,Hoieti,174
381,KPA,Kopiago Airport,small_airport,Kopiago,174
382,KAQ,Kamulai Airport,small_airport,Kamulai Mission,174
383,UNG,Kiunga Airport,small_airport,Kiunga,174
384,KNE,Kanainj Airport,small_airport,Kanainj,174
385,KRI,Kikori Airport,small_airport,Kikori,174
386,KMA,Kerema Airport,medium_airport,Kerema,174
387,KKD,Kokoda Airport,small_airport,Kokoda,174
388,KGW,Kagi Airport,small_airport,Kagi,174
389,KRX,Kar Kar Airport,small_airport,Kar Kar Island,174
390,KZF,Kaintiba Airport,small_airport,Kaintiba,174
391,KUQ,Kuri Airport,small_airport,Kuri,174
392,KVG,Kavieng Airport,medium_airport,Kavieng,174
393,KWO,Kawito Airport,small_airport,Kawito,174
394,LNV,Londolovit Airport,small_airport,Londolovit,174
395,LAB,Lab Lab Airport,small_airport,Lab Lab Mission,174
396,KEG,Keglsugl Airport,small_airport,Denglagu Mission,174
397,KII,Kibuli Airstrip,small_airport,Kibuli,174
398,LGN,Linga Linga Airport,small_airport,Linga Linga,174
399,LNM,Langimar Airport,small_airport,Unknown,174
400,LWI,Lowai Airport,small_airport,Lowai,174
401,LPN,Leron Plains Airport,small_airport,Leron Plains,174
402,LNG,Lese Airport,small_airport,Lese,174
403,LNC,Lengbati Airport,small_airport,Unknown,174
404,LMI,Lumi Airport,small_airport,Lumi,174
405,LSJ,Long Island Airport,small_airport,Long Island,174
406,AYM,Yas Island Seaplane Base,seaplane_base,Abu Dhabi,2
407,MRM,Manari Airport,small_airport,Manari,174
408,OBM,Morobe Airport,small_airport,Morobe,174
409,MYX,Menyamya Airport,small_airport,Menyamya,174
410,MAG,Madang Airport,medium_airport,Madang,174
411,HGU,Mount Hagen Kagamuga Airport,medium_airport,Mount Hagen,174
412,MXK,Mindik Airport,small_airport,Mindik,174
413,MPG,Makini Airport,small_airport,Makini,174
414,GUV,Mougulu Airport,small_airport,Mougulu,174
415,MDU,Mendi Airport,medium_airport,Mendi,174
416,MAS,Momote Airport,medium_airport,Manus Island,174
417,MLQ,Malalaua Airport,small_airport,Malalaua,174
418,MQO,Malam Airport,small_airport,Malam,174
419,MXH,Moro Airport,small_airport,Moro,174
420,MIS,Misima Island Airport,small_airport,Misima Island,174
421,MKN,Malekolon Airport,small_airport,Babase Island,174
422,MWG,Marawaka Airport,small_airport,Marawaka,174
423,MPU,Mapua(Mabua) Airport,small_airport,Tatau Island,174
424,NKN,Nankina Airport,small_airport,Gwarawon,174
425,KEX,Kanabea Airport,small_airport,Kanabea,174
426,NDN,Nadunumu Airport,small_airport,Nadunumu,174
427,AUI,Aua Island Airport,small_airport,Aua Island,174
428,GBF,Negarbo(Negabo) Airport,small_airport,Negarbo,174
429,MFO,Manguna Airport,small_airport,Manguna,174
430,NUG,Nuguria Airstrip,small_airport,Nuguria Island,174
431,NDI,Namudi Airport,small_airport,Namudi,174
432,KSB,Kasonombe Airport,small_airport,Kasonombe,174
433,KDP,Kandep Airport,small_airport,Kandep,174
434,NMN,Nomane Airport,small_airport,Namane,174
435,BXZ,Bunsil Airport,small_airport,Bunsil - Umboi Island,174
436,UKU,Nuku Airport,small_airport,Nuku,174
437,ATN,Namatanai Airport,small_airport,Namatanai,174
438,NBA,Nambaiyufa Airport,small_airport,Nambaiyufa,174
439,LAE,Nadzab Tomodachi International Airport,large_airport,Lae,174
440,OBX,Obo Airport,small_airport,Obo,174
441,KGB,Konge Airport,small_airport,Konge,174
442,OKV,Okao Airport,small_airport,Okao,174
443,OGE,Ogeranang Airport,small_airport,Unknown,174
444,OKP,Oksapmin Airport,small_airport,Oksapmin,174
445,HOC,Komako Airport,small_airport,Komako,174
446,KQL,Kol Airport,small_airport,Kol,174
447,OSE,Omora Airport,small_airport,Omora,174
448,KOM,Komo-Manda Airport,small_airport,Komo,174
449,KSP,Kosipe Airport,small_airport,Kosipe Mission,174
450,KCJ,Komaio Airport,small_airport,Komaio,174
451,OLQ,Olsobip Airport,small_airport,Olsobip,174
452,KDE,Koroba Airport,small_airport,Koroba,174
453,OPB,Open Bay Airport,small_airport,Maitanakunai,174
454,PLE,Paiela Airport,small_airport,Paiela,174
455,PGB,Pangoa Airport,small_airport,Pangoa,174
456,PDI,Pindiu Airport,small_airport,Pindiu,174
457,APR,April River Airport,small_airport,April River,174
458,PGN,Pangia Airport,small_airport,Pangia,174
459,PMP,Pimaga Airport,small_airport,Pimaga,174
460,MPF,Mapoda Airport,small_airport,Mapoda,174
461,PMN,Pumani Airport,small_airport,Pumani,174
462,POM,Port Moresby Jacksons International Airport,large_airport,Port Moresby,174
463,KRJ,Karawari Airstrip,small_airport,Amboin,174
464,TLP,Tumolbil Airport,small_airport,Tumolbil,174
465,SPH,Sopu Airport,small_airport,Sopu,174
466,ONB,Ononge Airport,small_airport,Onange Mission,174
467,SXA,Sialum Airport,small_airport,Sialum,174
468,KIQ,Kira Airport,small_airport,Kira,174
469,RBP,Raba Raba Airport,small_airport,Rabaraba,174
470,RMN,Rumginae Airport,small_airport,Unknown,174
471,KMR,Karimui Airport,small_airport,Karimui,174
472,RKU,Kairuku Airport,small_airport,Yule Island,174
473,MWI,Maramuni Airport,small_airport,Maramuni,174
474,KOR,Kakoro(Koroko) Airstrip,small_airport,Kakoro,174
475,MRH,May River Airstrip,small_airport,May River,174
476,SBE,Suabi Airport,small_airport,Unknown,174
477,SDI,Saidor Airport,small_airport,Saidor,174
478,NIS,Simberi Airport,small_airport,Simberi Island,174
479,SFU,Safia Airport,small_airport,Safia,174
480,SIL,Sila Airport,small_airport,Sila Mission,174
481,SBV,Sabah Airport,small_airport,Sabah,174
482,SIM,Simbai Airport,small_airport,Simbai,174
483,SGK,Sengapi Airstrip,small_airport,Sengapi,174
484,SXH,Sehulea Airport,small_airport,Sehulea,174
485,SBC,Selbang Airport,small_airport,Selbang,174
486,SMH,Sapmanga Airport,small_airport,Sapmanga,174
487,SPV,Sepik Plains Airport,small_airport,Sepik Plains,174
